Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5212328,WHS4_544,COUNTRY,MEX,AMR,YEAR,Americas,,,2023,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
5263334,WHS4_544,COUNTRY,RWA,AFR,YEAR,Africa,,,2022,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5268380,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2014,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5284309,WHS4_544,COUNTRY,CHL,AMR,YEAR,Americas,,,2024,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
5330700,WHS4_544,COUNTRY,ZAF,AFR,YEAR,Africa,,,2019,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5377605,WHS4_544,COUNTRY,BRA,AMR,YEAR,Americas,,,2017,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5394907,WHS4_544,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,67,67.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5435161,WHS4_544,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2020,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5436030,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2018,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5462184,WHS4_544,COUNTRY,NGA,AFR,YEAR,Africa,,,2023,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
5486509,WHS4_544,COUNTRY,UGA,AFR,YEAR,Africa,,,2011,,,,,,,79,79.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5502766,WHS4_544,COUNTRY,BRA,AMR,YEAR,Americas,,,2018,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5516322,WHS4_544,COUNTRY,RWA,AFR,YEAR,Africa,,,2016,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5537576,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2019,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5575025,WHS4_544,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2024,,,,,,,59,59.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
5575054,WHS4_544,COUNTRY,COL,AMR,YEAR,Americas,,,2020,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5575082,WHS4_544,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2010,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5584274,WHS4_544,COUNTRY,COL,AMR,YEAR,Americas,,,2021,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5590597,WHS4_544,COUNTRY,RWA,AFR,YEAR,Africa,,,2024,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
5662111,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2023,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
5689532,WHS4_544,COUNTRY,UGA,AFR,YEAR,Africa,,,2010,,,,,,,79,79.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5718871,WHS4_544,COUNTRY,POL,EUR,YEAR,Europe,,,2023,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
5748309,WHS4_544,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2016,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5804737,WHS4_544,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2019,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5824015,WHS4_544,COUNTRY,ZAF,AFR,YEAR,Africa,,,2014,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5862425,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2024,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
5875702,WHS4_544,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2021,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5882209,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2017,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5892362,WHS4_544,COUNTRY,MDG,AFR,YEAR,Africa,,,2020,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5895680,WHS4_544,COUNTRY,NGA,AFR,YEAR,Africa,,,2012,,,,,,,42,42.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5924390,WHS4_544,COUNTRY,POL,EUR,YEAR,Europe,,,2019,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5944135,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2015,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5948763,WHS4_544,COUNTRY,UGA,AFR,YEAR,Africa,,,2019,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5963778,WHS4_544,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,69,69.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5978627,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2011,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5987917,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2011,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5994834,WHS4_544,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2017,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6107001,WHS4_544,COUNTRY,COL,AMR,YEAR,Americas,,,2014,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6117070,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2024,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
6134761,WHS4_544,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2021,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6142012,WHS4_544,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2023,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6145249,WHS4_544,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2023,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6190812,WHS4_544,COUNTRY,POL,EUR,YEAR,Europe,,,2018,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6225277,WHS4_544,COUNTRY,MEX,AMR,YEAR,Americas,,,2016,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6244353,WHS4_544,COUNTRY,CHL,AMR,YEAR,Americas,,,2022,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6338856,WHS4_544,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2014,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6438895,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2017,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6443894,WHS4_544,COUNTRY,CHL,AMR,YEAR,Americas,,,2016,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6446870,WHS4_544,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2010,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6470832,WHS4_544,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2016,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6518453,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2022,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6553153,WHS4_544,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2020,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6556349,WHS4_544,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2022,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6576694,WHS4_544,COUNTRY,ZAF,AFR,YEAR,Africa,,,2021,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6595909,WHS4_544,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2017,,,,,,,64,64.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6602978,WHS4_544,COUNTRY,GHA,AFR,YEAR,Africa,,,2019,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6647911,WHS4_544,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2023,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6657367,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2014,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6687253,WHS4_544,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2013,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6719230,WHS4_544,COUNTRY,MEX,AMR,YEAR,Americas,,,2018,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6739865,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2015,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6838566,WHS4_544,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2015,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6842724,WHS4_544,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2021,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6958281,WHS4_544,COUNTRY,COL,AMR,YEAR,Americas,,,2018,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7002613,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2010,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7006225,WHS4_544,COUNTRY,NGA,AFR,YEAR,Africa,,,2021,,,,,,,59,59.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7024336,WHS4_544,COUNTRY,MEX,AMR,YEAR,Americas,,,2012,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7071525,WHS4_544,COUNTRY,TUR,EUR,YEAR,Europe,,,2017,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7071664,WHS4_544,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2018,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7098638,WHS4_544,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2022,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7121934,WHS4_544,COUNTRY,ZAF,AFR,YEAR,Africa,,,2022,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7193727,WHS4_544,COUNTRY,MEX,AMR,YEAR,Americas,,,2017,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7196211,WHS4_544,COUNTRY,CHL,AMR,YEAR,Americas,,,2020,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7224154,WHS4_544,COUNTRY,GHA,AFR,YEAR,Africa,,,2015,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7230599,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2022,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7242290,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2018,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7264020,WHS4_544,COUNTRY,CHL,AMR,YEAR,Americas,,,2023,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7266673,WHS4_544,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2012,,,,,,,67,67.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7272016,WHS4_544,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2015,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7360062,WHS4_544,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2011,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7366167,WHS4_544,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2021,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7388239,WHS4_544,COUNTRY,POL,EUR,YEAR,Europe,,,2016,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7443571,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2020,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7468630,WHS4_544,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2010,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7523109,WHS4_544,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2013,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7592836,WHS4_544,COUNTRY,ZAF,AFR,YEAR,Africa,,,2018,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7605510,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2011,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7616502,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2021,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7641446,WHS4_544,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2019,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7672910,WHS4_544,COUNTRY,TUR,EUR,YEAR,Europe,,,2020,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7685185,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2010,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7696074,WHS4_544,COUNTRY,CHL,AMR,YEAR,Americas,,,2021,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7718874,WHS4_544,COUNTRY,UGA,AFR,YEAR,Africa,,,2021,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7722166,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2016,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
